"key,Sexe,AnneeNaissance,CSP,AgeDec,ClubJDR,NbJeuJoue,FreqJeu,DureeMoyPartie,PJMJ,Conv,AchatJDR,NbUniversAchat,NbOuvrageAche,DpnsAnnull"
"26,H,1986-1990,Cadre +,15-16,Oui,6-10,3/an,7 h +,Les 2,Oui,Oui,2-5,7-10,20 "
"29,H,1976-1980,En recherche d'emploi,15-16,Non,6-10,1/mois,3-4 h ,Les 2,Non,Oui,6-10,31-50,50-100 "
"30,H,1986-1990,Employe,13-14,Non,21+,1/mois,5-6 h ,Les 2,Oui,Oui,6-10,31-50,20-50 "
"33,H,1971-1975,Employe,11-12,Oui,21+,1/mois,5-6 h ,Les 2,Non,Oui,16+,51+,500+ "
"34,H,1966-1970,Employe,15-16,Oui,11-20,3/an,5-6 h ,MJ,Oui,Oui,16+,51+,100-200 "
"35,H,1981-1985,Cadre +,11-12,Oui,21+,2/mois,5-6 h ,Les 2,Oui,Oui,16+,51+,100-200 "
"36,H,1976-1980,Employe,13-14,Oui,21+,2/mois,5-6 h ,Les 2,Oui,Oui,16+,51+,20 "
"37,H,1976-1980,Travailleur independant,10,Oui,21+,1/semaine,5-6 h ,Les 2,Oui,Oui,16+,51+,500+ "
"38,H,1976-1980,Employe,13-14,Oui,21+,1/mois,5-6 h ,Les 2,Oui,Oui,11-15,31-50,50-100 "
"39,H,1976-1980,Profession intermediaire,10,Oui,6-10,2/mois,5-6 h ,Les 2,Oui,Oui,16+,51+,200-500 "
"42,H,1981-1985,Cadre +,15-16,Oui,11-20,2/mois,5-6 h ,Les 2,Oui,Oui,6-10,16-20,50-100 "
"43,H,1991-1995,Etudiant,15-16,Oui,2-5,2/mois,5-6 h ,Les 2,Oui,Non,0,0,0"
"44,H,1976-1980,Employe,15-16,Non,6-10,1/mois,3-4 h ,Les 2,Oui,Oui,2-5,11-15,100-200 "
"45,H,1991-1995,Profession intermediaire,15-16,Oui,11-20,3/an,3-4 h ,Les 2,Oui,Oui,2-5,21-30,50-100 "
"46,H,1971-1975,Cadre +,15-16,Oui,21+,3/an,7 h +,Les 2,Oui,Oui,16+,51+,500+ "
"47,H,1981-1985,Cadre +,13-14,Oui,21+,1/mois,3-4 h ,Les 2,Oui,Oui,16+,51+,200-500 "
"49,F,1986-1990,Cadre +,17-18,Oui,11-20,1/mois,3-4 h ,PJ,Oui,Oui,1,2 ou 3,20 "
"50,F,1991-1995,Etudiant,15-16,Oui,11-20,1/semaine,3-4 h ,PJ,Oui,Oui,6-10,2 ou 3,20-50 "
"51,H,1981-1985,Cadre +,10,Oui,21+,1/mois,5-6 h ,MJ,Non,Oui,16+,51+,200-500 "
"52,F,1971-1975,Profession intermediaire,10,Non,6-10,3/an,5-6 h ,Les 2,Oui,Oui,2-5,7-10,20 "
"53,H,1986-1990,Employe,15-16,Oui,6-10,1/mois,3-4 h ,Les 2,Oui,Oui,2-5,51+,50-100 "
"54,H,1976-1980,Cadre +,15-16,Oui,21+,1/semaine,3-4 h ,Les 2,Oui,Oui,11-15,11-15,50-100 "
"55,H,1976-1980,Cadre +,23-24,Non,6-10,3/an,5-6 h ,Les 2,Oui,Oui,11-15,31-50,200-500 "
"57,H,1981-1985,Cadre +,11-12,Oui,21+,2/mois,3-4 h ,Les 2,Oui,Oui,6-10,21-30,50-100 "
"59,H,1986-1990,Cadre +,11-12,Oui,11-20,3/an,5-6 h ,MJ,Oui,Oui,2-5,51+,100-200 "
"60,H,1991-1995,En recherche d'emploi,13-14,Non,2-5,Je ne joue plus vraiment,5-6 h ,MJ,Oui,Oui,2-5,16-20,50-100 "
"62,H,1981-1985,Sans activite,15-16,Oui,2-5,1/semaine,3-4 h ,PJ,Non,Oui,2-5,21-30,20 "
"63,H,1976-1980,Profession intermediaire,15-16,Oui,11-20,2/mois,3-4 h ,Les 2,Oui,Oui,6-10,51+,50-100 "
"65,H,1991-1995,Etudiant,11-12,Oui,21+,2/mois,5-6 h ,Les 2,Oui,Oui,2-5,16-20,100-200 "
"66,H,1971-1975,Cadre +,11-12,Oui,21+,1/semaine,1-2 h ,Les 2,Non,Oui,2-5,16-20,20 "
"67,H,1991-1995,Etudiant,15-16,Non,2-5,3/an,3-4 h ,Les 2,Oui,Oui,1,2 ou 3,20 "
"68,H,1981-1985,Cadre +,13-14,Oui,11-20,1/an,5-6 h ,Les 2,Oui,Oui,2-5,11-15,20 "
"69,H,1966-1970,Employe,13-14,Oui,21+,1/mois,5-6 h ,Les 2,Oui,Oui,11-15,51+,50-100 "
"70,H,1966-1970,Profession intermediaire,13-14,Oui,11-20,1/semaine,5-6 h ,Les 2,Non,Oui,2-5,11-15,20-50 "
"71,H,1971-1975,Cadre +,11-12,Oui,21+,3/an,7 h +,Les 2,Non,Oui,11-15,51+,200-500 "
"72,F,1986-1990,En recherche d'emploi,15-16,Oui,21+,2/mois,5-6 h ,Les 2,Oui,Oui,6-10,31-50,50-100 "
"73,H,1981-1985,Cadre +,11-12,Oui,11-20,1/semaine,3-4 h ,Les 2,Non,Oui,2-5,31-50,100-200 "
"76,H,1986-1990,Etudiant,19-20,Oui,6-10,1/semaine,5-6 h ,Les 2,Oui,Oui,2-5,2 ou 3,20-50 "
"77,H,1986-1990,Travailleur independant,13-14,Oui,11-20,1/semaine,3-4 h ,Les 2,Oui,Oui,2-5,11-15,20-50 "
"78,H,1971-1975,Cadre +,11-12,Oui,21+,1/semaine,5-6 h ,Les 2,Oui,Oui,16+,51+,200-500 "
"79,H,1961-1965,Cadre +,15-16,Oui,21+,1/semaine,3-4 h ,Les 2,Oui,Oui,16+,51+,500+ "
"80,H,1971-1975,Cadre +,11-12,Oui,11-20,3/an,Le week end,Les 2,Oui,Oui,2-5,31-50,20-50 "
"83,H,1991-1995,Etudiant,13-14,Oui,11-20,2/mois,3-4 h ,Les 2,Non,Oui,2-5,7-10,20-50 "
"84,H,1971-1975,En recherche d'emploi,17-18,Non,6-10,2/mois,7 h +,PJ,Non,Oui,2-5,31-50,50-100 "
"85,H,1976-1980,Cadre +,13-14,Oui,21+,3/an,5-6 h ,PJ,Non,Oui,2-5,11-15,20 "
"86,H,1966-1970,Profession intermediaire,17-18,Oui,11-20,2/mois,5-6 h ,MJ,Oui,Oui,2-5,51+,100-200 "
"88,H,1991-1995,Etudiant,15-16,Oui,2-5,Je ne joue plus vraiment,3-4 h ,Les 2,Non,Oui,1,2 ou 3,20 "
"89,F,1986-1990,En recherche d'emploi,19-20,Oui,21+,2/mois,5-6 h ,Les 2,Oui,Oui,2-5,4-6,20 "
"90,H,1976-1980,Cadre +,10,Oui,21+,2/mois,3-4 h ,Les 2,Oui,Oui,16+,51+,100-200 "
"93,H,1976-1980,Cadre +,11-12,Oui,21+,2/mois,3-4 h ,Les 2,Oui,Oui,16+,51+,200-500 "
"94,H,1986-1990,Travailleur independant,10,Oui,6-10,3/an,5-6 h ,Les 2,Oui,Oui,6-10,16-20,50-100 "
"95,H,1991-1995,En recherche d'emploi,13-14,Non,21+,2/mois,5-6 h ,Les 2,Oui,Oui,2-5,16-20,50-100 "
"96,H,1976-1980,Employe,13-14,Oui,21+,1/mois,5-6 h ,Les 2,Oui,Oui,16+,51+,200-500 "
"97,H,1976-1980,Employe,15-16,Oui,21+,1/semaine,5-6 h ,MJ,Non,Oui,16+,51+,100-200 "
"98,F,1981-1985,En recherche d'emploi,17-18,Non,6-10,1/mois,5-6 h ,Les 2,Non,Oui,2-5,4-6,50-100 "
"100,F,1971-1975,Employe,21-22,Oui,6-10,3/an,3-4 h ,PJ,Oui,Non,0,0,0"
"101,H,1966-1970,Travailleur independant,15-16,Non,2-5,1/mois,3-4 h ,Les 2,Non,Oui,2-5,21-30,100-200 "
"102,F,1971-1975,Cadre +,15-16,Oui,11-20,2/mois,5-6 h ,Les 2,Oui,Oui,2-5,11-15,20-50 "
"103,H,1981-1985,En recherche d'emploi,19-20,Oui,21+,1/semaine,5-6 h ,MJ,Oui,Oui,6-10,4-6,50-100 "
"105,H,1981-1985,Cadre +,11-12,Oui,21+,1/mois,5-6 h ,Les 2,Oui,Oui,6-10,11-15,20-50 "
"109,F,1991-1995,Etudiant,17-18,Non,11-20,1/mois,7 h +,Les 2,Oui,Non,0,0,0"
"110,H,1971-1975,Cadre +,13-14,Oui,21+,1/semaine,Le week end,Les 2,Non,Oui,11-15,51+,100-200 "
"111,H,1976-1980,Profession intermediaire,10,Oui,21+,1/semaine,7 h +,Les 2,Oui,Oui,16+,51+,200-500 "
"113,H,1971-1975,Employe,11-12,Oui,21+,1/mois,5-6 h ,MJ,Non,Oui,16+,51+,500+ "
"115,H,1971-1975,Employe,15-16,Oui,2-5,2/mois,3-4 h ,PJ,Oui,Oui,2-5,7-10,100-200 "
"117,H,1976-1980,Employe,17-18,Oui,21+,2/mois,3-4 h ,Les 2,Oui,Oui,6-10,11-15,20-50 "
"118,H,1976-1980,Employe,19-20,Oui,21+,1/semaine,3-4 h ,Les 2,Oui,Oui,16+,51+,100-200 "
"119,H,1966-1970,Cadre +,13-14,Oui,21+,1/an,5-6 h ,Les 2,Oui,Oui,16+,51+,500+ "
"120,H,1981-1985,Cadre +,13-14,Non,6-10,2/mois,3-4 h ,MJ,Oui,Oui,2-5,21-30,100-200 "
"123,H,1976-1980,Cadre +,11-12,Oui,21+,1/mois,5-6 h ,Les 2,Oui,Oui,16+,51+,50-100 "
"124,F,1986-1990,Etudiant,13-14,Non,6-10,3/an,5-6 h ,PJ,Oui,Non,0,0,0"
"125,H,1976-1980,Cadre +,13-14,Oui,21+,1/mois,5-6 h ,Les 2,Oui,Oui,16+,51+,200-500 "
"127,H,1981-1985,Je ne souhaite pas repondre,15-16,Oui,21+,1/mois,3-4 h ,Les 2,Oui,Oui,6-10,21-30,100-200 "
"128,H,1971-1975,Employe,10,Non,21+,2/mois,3-4 h ,Les 2,Non,Oui,16+,51+,100-200 "
"129,H,1991-1995,Etudiant,13-14,Oui,6-10,1/semaine,7 h +,Les 2,Oui,Oui,2-5,2 ou 3,20-50 "
"130,H,1986-1990,Cadre +,17-18,Oui,21+,2/mois,5-6 h ,Les 2,Oui,Oui,6-10,31-50,200-500 "
"132,H,1981-1985,Cadre +,15-16,Non,11-20,1/an,5-6 h ,PJ,Non,Oui,2-5,7-10,20 "
"133,H,1981-1985,Travailleur independant,11-12,Oui,11-20,Je ne joue plus vraiment,5-6 h ,Les 2,Non,Oui,6-10,51+,20 "
"135,H,1981-1985,Employe,17-18,Non,2-5,Je ne joue plus vraiment,3-4 h ,MJ,Non,Oui,2-5,16-20,20 "
"136,H,1981-1985,Cadre +,13-14,Non,11-20,3/an,3-4 h ,Les 2,Non,Oui,2-5,11-15,20 "
"137,H,1981-1985,Employe,17-18,Oui,6-10,1/semaine,3-4 h ,Les 2,Non,Oui,2-5,21-30,50-100 "
"138,H,1976-1980,Cadre +,13-14,Oui,11-20,2/mois,3-4 h ,Les 2,Oui,Oui,16+,51+,200-500 "
"139,H,1986-1990,Employe,10,Oui,21+,1/semaine,5-6 h ,Les 2,Oui,Oui,6-10,51+,500+ "
"140,H,1986-1990,Etudiant,15-16,Oui,11-20,3/an,3-4 h ,Les 2,Non,Oui,6-10,11-15,50-100 "
"142,F,1986-1990,Je ne souhaite pas repondre,19-20,Oui,11-20,1/mois,7 h +,PJ,Oui,Oui,2-5,11-15,20 "
"143,H,1966-1970,Cadre +,13-14,Oui,21+,1/semaine,5-6 h ,Les 2,Oui,Oui,16+,51+,50-100 "
"144,H,1981-1985,Travailleur independant,10,Oui,21+,1/semaine,5-6 h ,Les 2,Oui,Oui,16+,51+,200-500 "
"145,F,1981-1985,Employe,17-18,Oui,21+,1/semaine,3-4 h ,PJ,Non,Oui,2-5,2 ou 3,20 "
"146,H,1981-1985,Cadre +,15-16,Oui,11-20,2/mois,5-6 h ,Les 2,Oui,Oui,6-10,21-30,50-100 "
"147,H,1971-1975,Cadre +,11-12,Non,11-20,3/an,7 h +,MJ,Non,Oui,2-5,16-20,20-50 "
"148,H,1986-1990,Employe,17-18,Non,11-20,1/semaine,5-6 h ,Les 2,Non,Oui,2-5,16-20,500+ "
"149,F,1986-1990,Employe,21-22,Oui,6-10,1/an,5-6 h ,Les 2,Oui,Oui,6-10,7-10,20 "
"151,H,1971-1975,Employe,11-12,Oui,21+,2/mois,5-6 h ,Les 2,Oui,Oui,6-10,51+,200-500 "
"152,H,1966-1970,Employe,15-16,Oui,6-10,2/mois,5-6 h ,Les 2,Oui,Oui,2-5,16-20,20 "
"154,H,1971-1975,Cadre +,13-14,Oui,21+,1/mois,3-4 h ,MJ,Oui,Oui,16+,51+,200-500 "
"156,H,1971-1975,Cadre +,13-14,Oui,21+,2/mois,3-4 h ,MJ,Oui,Oui,16+,51+,200-500 "
"157,H,1971-1975,Employe,13-14,Oui,21+,3/an,5-6 h ,MJ,Non,Oui,16+,51+,50-100 "
"158,F,1971-1975,Profession intermediaire,25-30,Non,6-10,1/semaine,3-4 h ,PJ,Oui,Oui,2-5,2 ou 3,20 "
"161,H,1976-1980,Employe,10,Oui,21+,2/mois,7 h +,Les 2,Non,Oui,11-15,51+,20 "
"162,F,1981-1985,En recherche d'emploi,13-14,Oui,21+,1/an,5-6 h ,Les 2,Oui,Oui,2-5,7-10,20 "
"163,F,1976-1980,Cadre +,15-16,Oui,11-20,2/mois,3-4 h ,PJ,Oui,Oui,2-5,4-6,50-100 "
"165,H,1976-1980,Cadre +,11-12,Non,11-20,1/semaine,5-6 h ,Les 2,Oui,Oui,2-5,31-50,20-50 "
"166,H,1981-1985,Cadre +,17-18,Oui,21+,2/mois,3-4 h ,Les 2,Oui,Oui,11-15,16-20,100-200 "
"167,H,1976-1980,Travailleur independant,10,Non,21+,1/mois,7 h +,Les 2,Oui,Oui,16+,51+,100-200 "
"168,H,1981-1985,Cadre +,19-20,Oui,21+,1/mois,3-4 h ,Les 2,Oui,Oui,16+,31-50,50-100 "
"169,H,1986-1990,Cadre +,21-22,Oui,11-20,1/semaine,3-4 h ,Les 2,Oui,Oui,2-5,21-30,200-500 "
"171,H,1976-1980,Cadre +,11-12,Oui,21+,2/mois,3-4 h ,PJ,Non,Oui,16+,51+,500+ "
"172,F,1976-1980,Cadre +,21-22,Oui,2-5,Je ne joue plus vraiment,3-4 h ,Les 2,Oui,Oui,2-5,4-6,20 "
"173,H,1976-1980,En recherche d'emploi,15-16,Non,11-20,2/mois,3-4 h ,MJ,Non,Oui,6-10,31-50,100-200 "
"175,H,1991-1995,Cadre +,15-16,Oui,2-5,1/an,Le week end,Les 2,Oui,Oui,2-5,4-6,20 "
"176,F,1981-1985,Employe,25-30,Non,11-20,2/mois,5-6 h ,PJ,Non,Oui,1,1,20-50 "
"179,H,1976-1980,Cadre +,15-16,Non,2-5,3/an,5-6 h ,PJ,Oui,Oui,2-5,11-15,20 "
"180,H,1976-1980,Cadre +,13-14,Oui,21+,2/mois,5-6 h ,Les 2,Non,Oui,6-10,31-50,20 "
"181,H,1961-1965,Travailleur independant,19-20,Oui,21+,1/semaine,3-4 h ,Les 2,Oui,Oui,2-5,21-30,20-50 "
"182,H,1971-1975,Employe,13-14,Oui,21+,2/mois,3-4 h ,Les 2,Oui,Oui,16+,21-30,20-50 "
"183,H,1981-1985,Employe,13-14,Oui,21+,3/an,3-4 h ,Les 2,Oui,Oui,2-5,21-30,100-200 "
"184,H,1976-1980,Cadre +,10,Oui,21+,1/mois,5-6 h ,Les 2,Oui,Oui,6-10,51+,100-200 "
"185,H,1971-1975,Travailleur independant,11-12,Non,2-5,Je ne joue plus vraiment,3-4 h ,Les 2,Non,Oui,2-5,4-6,20 "
"186,H,1986-1990,Cadre +,19-20,Oui,6-10,1/semaine,3-4 h ,Les 2,Non,Non,0,0,0"
"188,H,1976-1980,Profession intermediaire,15-16,Oui,21+,2/mois,3-4 h ,Les 2,Non,Oui,6-10,51+,100-200 "
"189,H,1971-1975,Employe,13-14,Non,11-20,Je ne joue plus vraiment,7 h +,Les 2,Non,Oui,6-10,51+,20 "
"191,H,1966-1970,Travailleur independant,11-12,Oui,21+,2/mois,3-4 h ,Les 2,Oui,Oui,16+,51+,500+ "
"192,H,1981-1985,Cadre +,10,Oui,11-20,3/an,5-6 h ,Les 2,Oui,Oui,6-10,31-50,100-200 "
"194,H,1986-1990,Employe,11-12,Non,6-10,1/mois,3-4 h ,MJ,Oui,Oui,6-10,31-50,50-100 "
"196,H,1971-1975,Sans activite,11-12,Oui,11-20,1/semaine,3-4 h ,Les 2,Oui,Oui,6-10,31-50,50-100 "
"197,H,1966-1970,Cadre +,13-14,Oui,11-20,Je ne joue plus vraiment,7 h +,Les 2,Non,Oui,16+,51+,50-100 "
"199,H,1986-1990,Cadre +,13-14,Oui,21+,1/semaine,7 h +,Les 2,Non,Oui,2-5,51+,50-100 "
"201,H,1986-1990,Cadre +,11-12,Oui,2-5,2/mois,3-4 h ,Les 2,Non,Oui,1,2 ou 3,20 "
"202,H,1976-1980,Cadre +,13-14,Oui,21+,1/mois,7 h +,Les 2,Oui,Oui,16+,51+,200-500 "
"203,F,1986-1990,Je ne souhaite pas repondre,17-18,Oui,21+,Je ne joue plus vraiment,5-6 h ,PJ,Oui,Oui,2-5,7-10,20 "
"204,H,1971-1975,Employe,15-16,Oui,6-10,3/an,7 h +,PJ,Non,Oui,2-5,4-6,20 "
"205,H,1986-1990,Etudiant,10,Non,11-20,1/semaine,5-6 h ,Les 2,Oui,Oui,2-5,2 ou 3,20 "
"206,H,1976-1980,Cadre +,19-20,Non,11-20,2/mois,5-6 h ,Les 2,Non,Oui,6-10,31-50,100-200 "
"208,H,1971-1975,Cadre +,13-14,Oui,11-20,1/mois,5-6 h ,Les 2,Oui,Oui,2-5,11-15,100-200 "
"209,H,1986-1990,Employe,15-16,Oui,6-10,1/semaine,7 h +,Les 2,Oui,Oui,2-5,7-10,100-200 "
"210,H,1976-1980,Cadre +,11-12,Oui,11-20,2/mois,5-6 h ,Les 2,Oui,Oui,11-15,51+,100-200 "
"211,H,1966-1970,Profession intermediaire,17-18,Non,11-20,1/mois,5-6 h ,Les 2,Non,Oui,2-5,51+,200-500 "
"212,H,1971-1975,Etudiant,13-14,Oui,21+,3/an,5-6 h ,Les 2,Non,Oui,16+,51+,100-200 "
"213,H,1971-1975,Cadre +,11-12,Oui,21+,1/mois,7 h +,MJ,Non,Oui,16+,51+,200-500 "
"214,H,1981-1985,Etudiant,10,Oui,11-20,Je ne joue plus vraiment,7 h +,Les 2,Non,Oui,11-15,51+,20 "
"215,H,1976-1980,Cadre +,13-14,Non,11-20,1/mois,5-6 h ,Les 2,Oui,Oui,6-10,31-50,50-100 "
"216,H,1981-1985,Employe,11-12,Oui,21+,3/an,5-6 h ,Les 2,Oui,Oui,16+,51+,20 "
"217,H,1971-1975,Cadre +,11-12,Non,21+,1/mois,5-6 h ,Les 2,Oui,Oui,16+,51+,200-500 "
"218,H,1971-1975,Cadre +,11-12,Oui,21+,1/semaine,3-4 h ,Les 2,Oui,Oui,16+,51+,500+ "
"219,H,1976-1980,Cadre +,10,Oui,11-20,2/mois,3-4 h ,Les 2,Oui,Oui,11-15,51+,100-200 "
"220,F,1976-1980,Cadre +,15-16,Non,6-10,1/mois,5-6 h ,Les 2,Oui,Oui,2-5,31-50,50-100 "
"221,H,1976-1980,Employe,15-16,Oui,11-20,2/mois,3-4 h ,Les 2,Oui,Oui,2-5,7-10,20-50 "
"222,H,1986-1990,Profession intermediaire,15-16,Oui,11-20,2/mois,5-6 h ,Les 2,Oui,Oui,11-15,51+,500+ "
"223,F,1986-1990,Cadre +,15-16,Oui,6-10,1/mois,5-6 h ,Les 2,Oui,Oui,2-5,21-30,100-200 "
"224,H,1991-1995,Etudiant,15-16,Oui,6-10,1/mois,3-4 h ,Les 2,Oui,Oui,2-5,21-30,100-200 "
"225,H,1966-1970,Employe,11-12,Oui,11-20,3/an,7 h +,Les 2,Oui,Oui,2-5,7-10,20-50 "
"226,F,1976-1980,Employe,21-22,Non,21+,1/semaine,3-4 h ,Les 2,Oui,Oui,2-5,31-50,100-200 "
"227,H,1971-1975,Cadre +,13-14,Oui,21+,1/mois,5-6 h ,PJ,Oui,Oui,2-5,21-30,20 "
"228,H,1986-1990,En recherche d'emploi,11-12,Oui,21+,3/an,5-6 h ,Les 2,Oui,Oui,6-10,51+,200-500 "
"231,H,1981-1985,Travailleur independant,19-20,Oui,11-20,2/mois,3-4 h ,Les 2,Oui,Oui,6-10,16-20,20-50 "
"232,H,1986-1990,En recherche d'emploi,17-18,Oui,6-10,1/semaine,3-4 h ,Les 2,Oui,Oui,1,1,20-50 "
"234,H,1976-1980,Profession intermediaire,15-16,Non,21+,1/mois,5-6 h ,Les 2,Non,Oui,2-5,31-50,20-50 "
"235,H,1961-1965,Cadre +,15-16,Oui,21+,2/mois,3-4 h ,Les 2,Non,Oui,16+,51+,500+ "
"236,H,1981-1985,Employe,17-18,Oui,21+,1/semaine,5-6 h ,Les 2,Oui,Oui,6-10,51+,200-500 "
"237,H,1986-1990,Cadre +,11-12,Oui,11-20,Je ne joue plus vraiment,7 h +,Les 2,Oui,Oui,6-10,16-20,20 "
"238,H,1976-1980,Employe,11-12,Non,11-20,3/an,5-6 h ,Les 2,Oui,Oui,16+,51+,200-500 "
"240,H,1976-1980,En recherche d'emploi,11-12,Oui,21+,Je ne joue plus vraiment,5-6 h ,Les 2,Oui,Oui,2-5,51+,20 "
"242,H,1981-1985,Employe,15-16,Oui,21+,3/an,5-6 h ,MJ,Oui,Oui,6-10,16-20,100-200 "
"243,H,1981-1985,Cadre +,10,Oui,6-10,1/an,7 h +,Les 2,Oui,Oui,16+,51+,200-500 "
"245,H,1976-1980,Employe,10,Non,21+,1/mois,5-6 h ,Les 2,Non,Oui,2-5,4-6,100-200 "
"246,H,1981-1985,Je ne souhaite pas repondre,11-12,Oui,21+,1/mois,7 h +,Les 2,Oui,Oui,2-5,11-15,20 "
"247,H,1981-1985,Cadre +,13-14,Oui,21+,2/mois,3-4 h ,Les 2,Oui,Oui,11-15,21-30,20-50 "
"248,H,1976-1980,Cadre +,11-12,Oui,21+,2/mois,5-6 h ,Les 2,Oui,Oui,16+,51+,500+ "
"249,F,1986-1990,Cadre +,23-24,Oui,21+,2/mois,3-4 h ,Les 2,Oui,Oui,2-5,11-15,20-50 "
"250,H,1981-1985,Cadre +,13-14,Non,2-5,Je ne joue plus vraiment,7 h +,Les 2,Non,Non,0,0,0"
"251,H,1976-1980,Cadre +,13-14,Oui,21+,2/mois,5-6 h ,MJ,Oui,Oui,6-10,51+,500+ "
"252,H,1976-1980,Cadre +,10,Oui,21+,1/semaine,5-6 h ,Les 2,Oui,Oui,16+,51+,200-500 "
"254,H,1966-1970,Travailleur independant,19-20,Non,11-20,1/mois,3-4 h ,MJ,Non,Oui,11-15,21-30,20-50 "
"256,H,1981-1985,Profession intermediaire,11-12,Oui,11-20,1/semaine,3-4 h ,Les 2,Oui,Oui,11-15,51+,200-500 "
"257,H,1976-1980,Cadre +,17-18,Non,11-20,Je ne joue plus vraiment,3-4 h ,Les 2,Oui,Oui,6-10,7-10,50-100 "
"258,F,1971-1975,Travailleur independant,11-12,Oui,21+,2/mois,5-6 h ,Les 2,Oui,Oui,6-10,16-20,100-200 "
"259,H,1986-1990,Cadre +,17-18,Oui,2-5,1/mois,3-4 h ,Les 2,Non,Oui,1,1,50-100 "
"260,H,1976-1980,Cadre +,10,Oui,21+,3/an,7 h +,Les 2,Oui,Oui,16+,51+,200-500 "
"261,H,1986-1990,Je ne souhaite pas repondre,19-20,Oui,11-20,1/semaine,5-6 h ,Les 2,Oui,Oui,6-10,11-15,100-200 "
"262,H,1976-1980,Cadre +,15-16,Non,6-10,2/mois,3-4 h ,PJ,Oui,Oui,2-5,4-6,50-100 "
"263,H,1966-1970,Cadre +,15-16,Non,6-10,1/mois,3-4 h ,MJ,Non,Oui,2-5,31-50,100-200 "
"264,H,1986-1990,Cadre +,17-18,Oui,21+,1/semaine,3-4 h ,Les 2,Oui,Oui,6-10,31-50,100-200 "
"265,H,1981-1985,Cadre +,15-16,Oui,11-20,2/mois,3-4 h ,MJ,Oui,Oui,6-10,21-30,100-200 "
"268,H,1971-1975,Cadre +,11-12,Oui,21+,1/mois,3-4 h ,MJ,Oui,Oui,16+,51+,500+ "
"269,F,1971-1975,Je ne souhaite pas repondre,19-20,Oui,2-5,3/an,5-6 h ,PJ,Oui,Non,0,0,0"
"270,H,1991-1995,Travailleur independant,10,Oui,21+,1/mois,5-6 h ,Les 2,Oui,Oui,6-10,21-30,20 "
"271,F,1986-1990,Etudiant,15-16,Non,6-10,3/an,3-4 h ,Les 2,Oui,Oui,6-10,7-10,50-100 "
"272,F,1966-1970,Sans activite,15-16,Oui,6-10,1/semaine,3-4 h ,PJ,Oui,Oui,2-5,31-50,50-100 "
"275,F,1986-1990,Employe,11-12,Non,6-10,2/mois,3-4 h ,PJ,Oui,Oui,2-5,4-6,50-100 "
