key,Sexe,AnneeNaissance,CSP,AgeDec,ClubJDR,NbJeuJoue,FreqJeu,DureeMoyPartie,PJMJ,Conv,AchatJDR,NbUniversAchat,NbOuvrageAche,DpnsAnnull
76,H,1986-1990,Etudiant,19-20,Oui,6-10,1/semaine,5-6 h ,Les 2,Oui,Oui,2-5,2 ou 3,20-50 
77,H,1986-1990,Travailleur independant,13-14,Oui,11-20,1/semaine,3-4 h ,Les 2,Oui,Oui,2-5,11-15,20-50 
79,H,1961-1965,Cadre +,15-16,Oui,21+,1/semaine,3-4 h ,Les 2,Oui,Oui,16+,51+,500+ 
80,H,1971-1975,Cadre +,11-12,Oui,11-20,3/an,Le week end,Les 2,Oui,Oui,2-5,31-50,20-50 
83,H,1991-1995,Etudiant,13-14,Oui,11-20,2/mois,3-4 h ,Les 2,Non,Oui,2-5,7-10,20-50 
84,H,1971-1975,En recherche d'emploi,17-18,Non,6-10,2/mois,7 h +,PJ,Non,Oui,2-5,31-50,50-100 
85,H,1976-1980,Cadre +,13-14,Oui,21+,3/an,5-6 h ,PJ,Non,Oui,2-5,11-15,20 
86,H,1966-1970,Profession intermediaire,17-18,Oui,11-20,2/mois,5-6 h ,MJ,Oui,Oui,2-5,51+,100-200 
88,H,1991-1995,Etudiant,15-16,Oui,2-5,Je ne joue plus vraiment,3-4 h ,Les 2,Non,Oui,1,2 ou 3,20 
89,F,1986-1990,En recherche d'emploi,19-20,Oui,21+,2/mois,5-6 h ,Les 2,Oui,Oui,2-5,4-6,20 
92,H,1981-1985,Employe,25-30,Oui,11-20,3/an,3-4 h ,Les 2,Oui,Oui,16+,31-50,200-500 
94,H,1986-1990,Travailleur independant,10,Oui,6-10,3/an,5-6 h ,Les 2,Oui,Oui,6-10,16-20,50-100 
96,H,1976-1980,Employe,13-14,Oui,21+,1/mois,5-6 h ,Les 2,Oui,Oui,16+,51+,200-500 
97,H,1976-1980,Employe,15-16,Oui,21+,1/semaine,5-6 h ,MJ,Non,Oui,16+,51+,100-200 
102,F,1971-1975,Cadre +,15-16,Oui,11-20,2/mois,5-6 h ,Les 2,Oui,Oui,2-5,11-15,20-50 
104,H,1976-1980,Cadre +,13-14,Oui,11-20,2/mois,5-6 h ,Les 2,Oui,Oui,11-15,51+,100-200 
105,H,1981-1985,Cadre +,11-12,Oui,21+,1/mois,5-6 h ,Les 2,Oui,Oui,6-10,11-15,20-50 
106,H,1981-1985,Cadre +,10,Oui,21+,1/mois,5-6 h ,Les 2,Oui,Oui,6-10,51+,20 
114,H,1986-1990,Etudiant,17-18,Oui,6-10,1/mois,5-6 h ,Les 2,Oui,Oui,2-5,21-30,50-100 
115,H,1971-1975,Employe,15-16,Oui,2-5,2/mois,3-4 h ,PJ,Oui,Oui,2-5,7-10,100-200 
118,H,1976-1980,Employe,19-20,Oui,21+,1/semaine,3-4 h ,Les 2,Oui,Oui,16+,51+,100-200 
119,H,1966-1970,Cadre +,13-14,Oui,21+,1/an,5-6 h ,Les 2,Oui,Oui,16+,51+,500+ 
120,H,1981-1985,Cadre +,13-14,Non,6-10,2/mois,3-4 h ,MJ,Oui,Oui,2-5,21-30,100-200 
126,H,1976-1980,Employe,11-12,Oui,21+,1/semaine,7 h +,Les 2,Oui,Oui,16+,51+,500+ 
127,H,1981-1985,Je ne souhaite pas repondre,15-16,Oui,21+,1/mois,3-4 h ,Les 2,Oui,Oui,6-10,21-30,100-200 
130,H,1986-1990,Cadre +,17-18,Oui,21+,2/mois,5-6 h ,Les 2,Oui,Oui,6-10,31-50,200-500 
131,H,1976-1980,Cadre +,13-14,Non,21+,3/an,5-6 h ,Les 2,Oui,Oui,6-10,51+,100-200 
132,H,1981-1985,Cadre +,15-16,Non,11-20,1/an,5-6 h ,PJ,Non,Oui,2-5,7-10,20 
133,H,1981-1985,Travailleur independant,11-12,Oui,11-20,Je ne joue plus vraiment,5-6 h ,Les 2,Non,Oui,6-10,51+,20 
135,H,1981-1985,Employe,17-18,Non,2-5,Je ne joue plus vraiment,3-4 h ,MJ,Non,Oui,2-5,16-20,20 
136,H,1981-1985,Cadre +,13-14,Non,11-20,3/an,3-4 h ,Les 2,Non,Oui,2-5,11-15,20 
137,H,1981-1985,Employe,17-18,Oui,6-10,1/semaine,3-4 h ,Les 2,Non,Oui,2-5,21-30,50-100 
138,H,1976-1980,Cadre +,13-14,Oui,11-20,2/mois,3-4 h ,Les 2,Oui,Oui,16+,51+,200-500 
139,H,1986-1990,Employe,10,Oui,21+,1/semaine,5-6 h ,Les 2,Oui,Oui,6-10,51+,500+ 
140,H,1986-1990,Etudiant,15-16,Oui,11-20,3/an,3-4 h ,Les 2,Non,Oui,6-10,11-15,50-100 
141,H,1966-1970,Travailleur independant,11-12,Oui,6-10,1/semaine,7 h +,Les 2,Oui,Oui,2-5,16-20,20 
142,F,1986-1990,Je ne souhaite pas repondre,19-20,Oui,11-20,1/mois,7 h +,PJ,Oui,Oui,2-5,11-15,20 
145,F,1981-1985,Employe,17-18,Oui,21+,1/semaine,3-4 h ,PJ,Non,Oui,2-5,2 ou 3,20 
147,H,1971-1975,Cadre +,11-12,Non,11-20,3/an,7 h +,MJ,Non,Oui,2-5,16-20,20-50 
149,F,1986-1990,Employe,21-22,Oui,6-10,1/an,5-6 h ,Les 2,Oui,Oui,6-10,7-10,20 
150,H,1976-1980,Cadre +,10,Non,6-10,Je ne joue plus vraiment,3-4 h ,Les 2,Non,Oui,1,2 ou 3,20 
151,H,1971-1975,Employe,11-12,Oui,21+,2/mois,5-6 h ,Les 2,Oui,Oui,6-10,51+,200-500 
152,H,1966-1970,Employe,15-16,Oui,6-10,2/mois,5-6 h ,Les 2,Oui,Oui,2-5,16-20,20 
159,H,1971-1975,En recherche d'emploi,11-12,Oui,21+,2/mois,7 h +,PJ,Non,Oui,16+,51+,500+ 
160,H,1986-1990,Employe,15-16,Oui,11-20,2/mois,5-6 h ,Les 2,Oui,Oui,16+,51+,100-200 
161,H,1976-1980,Employe,10,Oui,21+,2/mois,7 h +,Les 2,Non,Oui,11-15,51+,20 
163,F,1976-1980,Cadre +,15-16,Oui,11-20,2/mois,3-4 h ,PJ,Oui,Oui,2-5,4-6,50-100 
164,H,1961-1965,Employe,17-18,Oui,21+,Je ne joue plus vraiment,5-6 h ,Les 2,Oui,Oui,11-15,51+,20 
165,H,1976-1980,Cadre +,11-12,Non,11-20,1/semaine,5-6 h ,Les 2,Oui,Oui,2-5,31-50,20-50 
168,H,1981-1985,Cadre +,19-20,Oui,21+,1/mois,3-4 h ,Les 2,Oui,Oui,16+,31-50,50-100 
171,H,1976-1980,Cadre +,11-12,Oui,21+,2/mois,3-4 h ,PJ,Non,Oui,16+,51+,500+ 
175,H,1991-1995,Cadre +,15-16,Oui,2-5,1/an,Le week end,Les 2,Oui,Oui,2-5,4-6,20 
177,F,1986-1990,En recherche d'emploi,15-16,Oui,11-20,1/semaine,5-6 h ,Les 2,Oui,Oui,2-5,4-6,50-100 
180,H,1976-1980,Cadre +,13-14,Oui,21+,2/mois,5-6 h ,Les 2,Non,Oui,6-10,31-50,20 
184,H,1976-1980,Cadre +,10,Oui,21+,1/mois,5-6 h ,Les 2,Oui,Oui,6-10,51+,100-200 
187,F,1991-1995,Etudiant,15-16,Oui,11-20,Je ne joue plus vraiment,3-4 h ,Les 2,Oui,Oui,1,2 ou 3,20 
189,H,1971-1975,Employe,13-14,Non,11-20,Je ne joue plus vraiment,7 h +,Les 2,Non,Oui,6-10,51+,20 
190,H,1986-1990,Cadre +,17-18,Oui,6-10,Je ne joue plus vraiment,5-6 h ,Les 2,Non,Oui,2-5,4-6,20 
191,H,1966-1970,Travailleur independant,11-12,Oui,21+,2/mois,3-4 h ,Les 2,Oui,Oui,16+,51+,500+ 
193,H,1976-1980,Travailleur independant,25-30,Oui,21+,3/an,5-6 h ,Les 2,Non,Oui,16+,51+,100-200 
194,H,1986-1990,Employe,11-12,Non,6-10,1/mois,3-4 h ,MJ,Oui,Oui,6-10,31-50,50-100 
195,F,1981-1985,Travailleur independant,10,Oui,21+,1/semaine,3-4 h ,Les 2,Oui,Oui,11-15,21-30,200-500 
196,H,1971-1975,Sans activite,11-12,Oui,11-20,1/semaine,3-4 h ,Les 2,Oui,Oui,6-10,31-50,50-100 
197,H,1966-1970,Cadre +,13-14,Oui,11-20,Je ne joue plus vraiment,7 h +,Les 2,Non,Oui,16+,51+,50-100 
198,H,1981-1985,Employe,21-22,Non,2-5,Je ne joue plus vraiment,3-4 h ,Les 2,Non,Non,0,0,0
201,H,1986-1990,Cadre +,11-12,Oui,2-5,2/mois,3-4 h ,Les 2,Non,Oui,1,2 ou 3,20 
202,H,1976-1980,Cadre +,13-14,Oui,21+,1/mois,7 h +,Les 2,Oui,Oui,16+,51+,200-500 
203,F,1986-1990,Je ne souhaite pas repondre,17-18,Oui,21+,Je ne joue plus vraiment,5-6 h ,PJ,Oui,Oui,2-5,7-10,20 
205,H,1986-1990,Etudiant,10,Non,11-20,1/semaine,5-6 h ,Les 2,Oui,Oui,2-5,2 ou 3,20 
206,H,1976-1980,Cadre +,19-20,Non,11-20,2/mois,5-6 h ,Les 2,Non,Oui,6-10,31-50,100-200 
207,H,1986-1990,Cadre +,17-18,Oui,21+,3/an,5-6 h ,Les 2,Oui,Oui,6-10,16-20,20-50 
208,H,1971-1975,Cadre +,13-14,Oui,11-20,1/mois,5-6 h ,Les 2,Oui,Oui,2-5,11-15,100-200 
209,H,1986-1990,Employe,15-16,Oui,6-10,1/semaine,7 h +,Les 2,Oui,Oui,2-5,7-10,100-200 
213,H,1971-1975,Cadre +,11-12,Oui,21+,1/mois,7 h +,MJ,Non,Oui,16+,51+,200-500 
216,H,1981-1985,Employe,11-12,Oui,21+,3/an,5-6 h ,Les 2,Oui,Oui,16+,51+,20 
217,H,1971-1975,Cadre +,11-12,Non,21+,1/mois,5-6 h ,Les 2,Oui,Oui,16+,51+,200-500 
219,H,1976-1980,Cadre +,10,Oui,11-20,2/mois,3-4 h ,Les 2,Oui,Oui,11-15,51+,100-200 
220,F,1976-1980,Cadre +,15-16,Non,6-10,1/mois,5-6 h ,Les 2,Oui,Oui,2-5,31-50,50-100 
222,H,1986-1990,Profession intermediaire,15-16,Oui,11-20,2/mois,5-6 h ,Les 2,Oui,Oui,11-15,51+,500+ 
227,H,1971-1975,Cadre +,13-14,Oui,21+,1/mois,5-6 h ,PJ,Oui,Oui,2-5,21-30,20 
229,H,1976-1980,Employe,11-12,Oui,11-20,3/an,5-6 h ,Les 2,Oui,Oui,11-15,51+,500+ 
230,H,1966-1970,Cadre +,15-16,Non,21+,2/mois,3-4 h ,Les 2,Non,Oui,16+,51+,200-500 
231,H,1981-1985,Travailleur independant,19-20,Oui,11-20,2/mois,3-4 h ,Les 2,Oui,Oui,6-10,16-20,20-50 
232,H,1986-1990,En recherche d'emploi,17-18,Oui,6-10,1/semaine,3-4 h ,Les 2,Oui,Oui,1,1,20-50 
233,H,1971-1975,Cadre +,13-14,Oui,21+,1/semaine,3-4 h ,Les 2,Non,Oui,6-10,51+,100-200 
236,H,1981-1985,Employe,17-18,Oui,21+,1/semaine,5-6 h ,Les 2,Oui,Oui,6-10,51+,200-500 
237,H,1986-1990,Cadre +,11-12,Oui,11-20,Je ne joue plus vraiment,7 h +,Les 2,Oui,Oui,6-10,16-20,20 
242,H,1981-1985,Employe,15-16,Oui,21+,3/an,5-6 h ,MJ,Oui,Oui,6-10,16-20,100-200 
243,H,1981-1985,Cadre +,10,Oui,6-10,1/an,7 h +,Les 2,Oui,Oui,16+,51+,200-500 
244,H,1976-1980,Profession intermediaire,10,Oui,21+,1/mois,Le week end,Les 2,Oui,Oui,2-5,31-50,20-50 
249,F,1986-1990,Cadre +,23-24,Oui,21+,2/mois,3-4 h ,Les 2,Oui,Oui,2-5,11-15,20-50 
250,H,1981-1985,Cadre +,13-14,Non,2-5,Je ne joue plus vraiment,7 h +,Les 2,Non,Non,0,0,0
252,H,1976-1980,Cadre +,10,Oui,21+,1/semaine,5-6 h ,Les 2,Oui,Oui,16+,51+,200-500 
253,H,1966-1970,Travailleur independant,11-12,Oui,21+,2/mois,3-4 h ,MJ,Oui,Oui,2-5,51+,50-100 
254,H,1966-1970,Travailleur independant,19-20,Non,11-20,1/mois,3-4 h ,MJ,Non,Oui,11-15,21-30,20-50 
255,H,1981-1985,Cadre +,15-16,Oui,21+,2/mois,5-6 h ,Les 2,Oui,Oui,6-10,51+,200-500 
259,H,1986-1990,Cadre +,17-18,Oui,2-5,1/mois,3-4 h ,Les 2,Non,Oui,1,1,50-100 
260,H,1976-1980,Cadre +,10,Oui,21+,3/an,7 h +,Les 2,Oui,Oui,16+,51+,200-500 
261,H,1986-1990,Je ne souhaite pas repondre,19-20,Oui,11-20,1/semaine,5-6 h ,Les 2,Oui,Oui,6-10,11-15,100-200 
262,H,1976-1980,Cadre +,15-16,Non,6-10,2/mois,3-4 h ,PJ,Oui,Oui,2-5,4-6,50-100 
263,H,1966-1970,Cadre +,15-16,Non,6-10,1/mois,3-4 h ,MJ,Non,Oui,2-5,31-50,100-200 
266,H,1981-1985,Etudiant,15-16,Oui,21+,1/semaine,3-4 h ,Les 2,Oui,Oui,16+,51+,20-50 
269,F,1971-1975,Je ne souhaite pas repondre,19-20,Oui,2-5,3/an,5-6 h ,PJ,Oui,Non,0,0,0
274,H,1991-1995,Etudiant,13-14,Non,6-10,2/mois,5-6 h ,Les 2,Oui,Oui,2-5,11-15,50-100 
277,H,1986-1990,Employe,13-14,Non,11-20,2/mois,5-6 h ,Les 2,Non,Oui,2-5,16-20,50-100 
278,H,1971-1975,Cadre +,13-14,Non,21+,3/an,3-4 h ,Les 2,Non,Oui,16+,51+,200-500 
279,H,1981-1985,Cadre +,15-16,Oui,21+,2/mois,5-6 h ,Les 2,Oui,Oui,11-15,16-20,50-100 
281,H,1976-1980,Employe,10,Oui,11-20,Je ne joue plus vraiment,3-4 h ,Les 2,Oui,Oui,11-15,51+,100-200 
282,H,1966-1970,Cadre +,15-16,Oui,21+,1/mois,3-4 h ,Les 2,Oui,Oui,6-10,21-30,50-100 
284,H,1976-1980,Cadre +,11-12,Oui,11-20,3/an,Le week end,Les 2,Oui,Oui,2-5,21-30,50-100 
285,H,1981-1985,Travailleur independant,13-14,Oui,11-20,3/an,3-4 h ,Les 2,Non,Oui,16+,51+,100-200 
288,H,1976-1980,En recherche d'emploi,13-14,Non,6-10,1/semaine,3-4 h ,MJ,Non,Oui,16+,51+,200-500 
290,H,1986-1990,En recherche d'emploi,19-20,Oui,6-10,3/an,3-4 h ,Les 2,Oui,Non,0,0,0
291,H,1986-1990,Employe,11-12,Oui,21+,1/mois,5-6 h ,Les 2,Non,Oui,16+,51+,200-500 
296,H,1971-1975,Ouvrier,11-12,Non,11-20,1/mois,7 h +,PJ,Non,Oui,6-10,7-10,20-50 
297,H,1976-1980,Cadre +,15-16,Oui,6-10,Je ne joue plus vraiment,5-6 h ,Les 2,Non,Oui,1,1,20 
298,F,1986-1990,Employe,17-18,Oui,6-10,1/mois,3-4 h ,PJ,Oui,Oui,2-5,1,20 
299,H,1981-1985,En recherche d'emploi,13-14,Non,11-20,1/semaine,3-4 h ,Les 2,Oui,Oui,2-5,21-30,100-200 
301,H,1976-1980,Je ne souhaite pas repondre,11-12,Non,21+,3/an,5-6 h ,Les 2,Non,Oui,11-15,51+,50-100 
304,H,1991-1995,Etudiant,15-16,Oui,6-10,2/mois,5-6 h ,PJ,Oui,Non,0,0,0
308,H,1976-1980,Cadre +,13-14,Non,11-20,Je ne joue plus vraiment,5-6 h ,Les 2,Non,Oui,16+,51+,50-100 
313,H,1991-1995,Etudiant,10,Non,11-20,3/an,7 h +,Les 2,Oui,Oui,2-5,21-30,50-100 
315,H,1981-1985,Ouvrier,15-16,Oui,21+,1/mois,7 h +,Les 2,Oui,Oui,11-15,51+,200-500 
319,H,1991-1995,Employe,10,Oui,21+,2/mois,5-6 h ,MJ,Oui,Oui,2-5,7-10,50-100 
321,H,1961-1965,Cadre +,17-18,Oui,6-10,Je ne joue plus vraiment,5-6 h ,Les 2,Non,Oui,2-5,21-30,20 
322,H,1971-1975,Cadre +,11-12,Non,21+,Je ne joue plus vraiment,5-6 h ,Les 2,Oui,Oui,2-5,21-30,20 
330,H,1986-1990,Sans activite,17-18,Non,6-10,1/semaine,3-4 h ,Les 2,Oui,Oui,1,1,20 
331,H,1971-1975,Employe,13-14,Oui,21+,1/semaine,7 h +,Les 2,Oui,Oui,16+,51+,500+ 
332,F,1966-1970,Cadre +,11-12,Oui,2-5,2/mois,5-6 h ,Les 2,Non,Oui,2-5,4-6,20 
335,H,1976-1980,Cadre +,11-12,Oui,21+,Je ne joue plus vraiment,5-6 h ,Les 2,Oui,Oui,16+,16-20,20 
338,F,1976-1980,En recherche d'emploi,17-18,Oui,11-20,1/semaine,5-6 h ,Les 2,Oui,Oui,6-10,11-15,100-200 
339,H,1986-1990,Cadre +,19-20,Non,6-10,2/mois,5-6 h ,Les 2,Oui,Oui,1,4-6,200-500 
342,H,1981-1985,Employe,15-16,Oui,11-20,3/an,7 h +,PJ,Non,Oui,2-5,21-30,20-50 
343,H,1991-1995,Profession intermediaire,13-14,Oui,11-20,Je ne joue plus vraiment,7 h +,Les 2,Non,Oui,2-5,4-6,20-50 
345,H,1971-1975,Ouvrier,11-12,Oui,11-20,1/semaine,3-4 h ,Les 2,Oui,Oui,6-10,21-30,50-100 
347,H,1981-1985,Employe,17-18,Oui,11-20,Je ne joue plus vraiment,5-6 h ,Les 2,Oui,Oui,6-10,16-20,20 
348,H,1966-1970,Je ne souhaite pas repondre,13-14,Oui,21+,1/semaine,3-4 h ,MJ,Non,Oui,16+,51+,100-200 
349,F,1986-1990,En recherche d'emploi,11-12,Non,11-20,1/an,5-6 h ,PJ,Oui,Oui,1,2 ou 3,20 
351,H,1976-1980,Employe,11-12,Oui,21+,1/mois,3-4 h ,Les 2,Non,Oui,16+,51+,100-200 
354,H,1976-1980,Employe,17-18,Non,11-20,2/mois,5-6 h ,Les 2,Oui,Oui,2-5,11-15,20-50 
356,H,1981-1985,Cadre +,17-18,Oui,6-10,3/an,5-6 h ,Les 2,Oui,Oui,2-5,11-15,20-50 
358,H,1981-1985,Cadre +,15-16,Oui,11-20,3/an,7 h +,Les 2,Non,Oui,6-10,21-30,50-100 
359,H,1981-1985,Cadre +,15-16,Non,6-10,1/semaine,3-4 h ,Les 2,Non,Oui,16+,31-50,200-500 
361,H,1981-1985,Employe,13-14,Non,6-10,1/semaine,3-4 h ,Les 2,Oui,Oui,2-5,31-50,100-200 
365,H,1966-1970,En recherche d'emploi,19-20,Oui,21+,1/semaine,3-4 h ,Les 2,Oui,Oui,2-5,16-20,100-200 
366,H,1976-1980,Cadre +,19-20,Oui,11-20,2/mois,3-4 h ,Les 2,Oui,Oui,16+,51+,200-500 
371,H,1971-1975,Cadre +,11-12,Oui,21+,Je ne joue plus vraiment,3-4 h ,Les 2,Non,Oui,11-15,51+,20 
372,H,1971-1975,Cadre +,13-14,Oui,21+,3/an,5-6 h ,Les 2,Non,Oui,11-15,51+,20-50 
377,H,1986-1990,Etudiant,15-16,Oui,11-20,2/mois,3-4 h ,Les 2,Oui,Oui,2-5,16-20,100-200 
379,H,1986-1990,Cadre +,10,Non,11-20,2/mois,5-6 h ,Les 2,Oui,Oui,6-10,16-20,50-100 
380,H,1991-1995,Etudiant,13-14,Non,6-10,1/an,5-6 h ,PJ,Non,Non,0,0,0
381,H,1991-1995,Etudiant,11-12,Oui,11-20,1/semaine,5-6 h ,Les 2,Oui,Oui,2-5,4-6,20-50 
383,F,1991-1995,Etudiant,19-20,Non,2-5,2/mois,5-6 h ,PJ,Oui,Non,0,0,0
392,H,1976-1980,En recherche d'emploi,19-20,Non,6-10,1/semaine,5-6 h ,Les 2,Non,Oui,1,11-15,50-100 
394,H,1971-1975,Cadre +,11-12,Oui,21+,1/mois,7 h +,Les 2,Non,Oui,6-10,51+,200-500 
396,H,1986-1990,Cadre +,15-16,Non,6-10,1/mois,3-4 h ,Les 2,Oui,Oui,2-5,31-50,20-50 
398,F,1976-1980,Etudiant,17-18,Non,21+,1/mois,5-6 h ,PJ,Oui,Oui,11-15,51+,100-200 
399,H,1981-1985,Profession intermediaire,15-16,Oui,6-10,1/semaine,7 h +,Les 2,Non,Oui,11-15,51+,200-500 
401,H,1966-1970,Profession intermediaire,17-18,Non,21+,2/mois,3-4 h ,Les 2,Non,Oui,6-10,51+,100-200 
402,H,1971-1975,Profession intermediaire,13-14,Oui,21+,1/semaine,5-6 h ,Les 2,Oui,Oui,6-10,51+,100-200 
404,H,1981-1985,Cadre +,13-14,Oui,11-20,2/mois,3-4 h ,Les 2,Oui,Oui,11-15,16-20,50-100 
405,H,1976-1980,Sans activite,31-40,Non,2-5,2/mois,3-4 h ,Les 2,Non,Oui,1,4-6,50-100 
412,H,1971-1975,Ouvrier,13-14,Oui,2-5,Je ne joue plus vraiment,Le week end,Les 2,Oui,Oui,2-5,4-6,20 
413,H,1991-1995,En recherche d'emploi,11-12,Oui,6-10,1/semaine,5-6 h ,Les 2,Oui,Oui,2-5,4-6,50-100 
422,H,1981-1985,Profession intermediaire,11-12,Oui,21+,1/semaine,3-4 h ,Les 2,Oui,Oui,2-5,21-30,100-200 
423,H,1981-1985,Cadre +,17-18,Non,11-20,1/mois,3-4 h ,Les 2,Non,Oui,6-10,21-30,50-100 
424,H,1986-1990,Je ne souhaite pas repondre,19-20,Oui,6-10,1/semaine,3-4 h ,PJ,Oui,Oui,1,2 ou 3,20-50 
429,H,1966-1970,Employe,15-16,Non,6-10,Je ne joue plus vraiment,3-4 h ,Les 2,Non,Oui,6-10,31-50,100-200 
430,H,1991-1995,Etudiant,15-16,Oui,2-5,1/mois,5-6 h ,PJ,Non,Oui,2-5,2 ou 3,20 
431,H,1971-1975,Cadre +,13-14,Oui,21+,2/mois,5-6 h ,Les 2,Oui,Oui,16+,31-50,500+ 
435,H,1971-1975,Cadre +,11-12,Oui,21+,3/an,7 h +,Les 2,Oui,Oui,11-15,11-15,50-100 
436,H,1971-1975,Cadre +,13-14,Non,6-10,1/semaine,3-4 h ,Les 2,Oui,Oui,2-5,7-10,20 
439,H,1991-1995,Etudiant,15-16,Non,6-10,Je ne joue plus vraiment,5-6 h ,MJ,Oui,Oui,2-5,7-10,20 
443,H,1971-1975,Employe,17-18,Oui,21+,2/mois,7 h +,Les 2,Oui,Oui,16+,51+,200-500 
447,H,1991-1995,Etudiant,11-12,Non,2-5,3/an,7 h +,Les 2,Oui,Oui,2-5,4-6,20 
448,H,1971-1975,Cadre +,13-14,Non,6-10,1/mois,5-6 h ,Les 2,Non,Oui,2-5,51+,50-100 
