key,Sexe,AnneeNaissance,CSP,AgeDec,ClubJDR,NbJeuJoue,FreqJeu,DureeMoyPartie,PJMJ,Conv,AchatJDR,NbUniversAchat,NbOuvrageAche,DpnsAnnull
18,H,1976-1980,Cadre ou profession intellectuelle superieure,19-20 ,Oui, 11-20,Au moins une fois par semaine,Cinq a six heures,Les deux,Oui,Oui,2-5, 21-30,200-500 
19,H,1976-1980,Cadre ou profession intellectuelle superieure,13-14 ,Non, 11-20,Je ne joue plus vraiment,Cinq a six heures,Les deux,Non,Oui,16,51,50-100 
20,H,1991-1995,Employe,10,Oui,21,Au moins deux fois par mois,Cinq a six heures,MJ,Oui,Oui,2-5,7-10,50-100 
21,H,1971-1975,Employe,13-14 ,Oui,21,Au moins une fois par mois,Sept heures ou plus,Les deux,Oui,Oui,16,51,100-200 
22,H,1986-1990,En recherche d'emploi,19-20 ,Non,2-5,Au moins une fois par semaine,Cinq a six heures,PJ,Non,Non,N/A,N/A,N/A
23,H,1971-1975,Cadre ou profession intellectuelle superieure,13-14 ,Oui,21,Au moins deux fois par mois,Cinq a six heures,Les deux,Oui,Oui,16, 31-50,500
24,H,1976-1980,Profession intermediaire,13-14 ,Oui, 11-20,Au moins une fois par semaine,Trois a quatre heures,Les deux,Oui,Oui,2-5,51,100-200 
25,H,1971-1975,Cadre ou profession intellectuelle superieure,11-12,Oui,21,Au moins trois fois par an,Cinq a six heures,Les deux,Oui,Oui,16,51,500
26,H,1966-1970,Travailleur independant,13-14 ,Oui,21,Au moins une fois par mois,Sept heures ou plus,Les deux,Oui,Oui,16,51,100-200 
27,H,1981-1985,Travailleur independant,13-14 ,Oui,21,Au moins trois fois par an,Trois a quatre heures,Les deux,Oui,Oui,1,1,20
28,H,1971-1975,Employe,13-14 ,Oui,21,Au moins deux fois par mois,Trois a quatre heures,Les deux,Oui,Oui,16,51,100-200 
29,H,1981-1985,Cadre ou profession intellectuelle superieure,15-16 ,Oui, 11-20,Je ne joue plus vraiment,Cinq a six heures,Les deux,Oui,Oui,2-5,7-10,20
30,H,1966-1970,Employe,15-16 ,Oui,21,Au moins une fois par semaine,Cinq a six heures,Les deux,Oui,Oui, 11-15,51,200-500 
31,F,1991-1995,Etudiant,15-16 ,Non, 11-20,Au moins deux fois par mois,Sept heures ou plus,Les deux,Oui,Oui,2-5, 16-20,50-100 
32,H,1971-1975,Cadre ou profession intellectuelle superieure,13-14 ,Oui,6-10,Au moins trois fois par an,Cinq a six heures,Les deux,Oui,Oui, 11-15, 31-50,50-100 
33,H,1996-2000,Sans activite,13-14 ,Non,2-5,Au moins trois fois par an,Trois a quatre heures,PJ,Non,Non,N/A,N/A,N/A
34,H,1976-1980,Cadre ou profession intellectuelle superieure,19-20 ,Non,6-10,Au moins trois fois par an,Trois a quatre heures,Les deux,Non,Oui,1,1,20
35,H,1976-1980,Cadre ou profession intellectuelle superieure,11-12,Oui, 11-20,Au moins deux fois par mois,Trois a quatre heures,PJ,Oui,Oui, 11-15,51,20-50 
36,H,1981-1985,Sans activite,13-14 ,Non,6-10,Au moins une fois par mois,Trois a quatre heures,Les deux,Oui,Oui,6-10,4-6,50-100 
37,H,1986-1990,Cadre ou profession intellectuelle superieure,17-18 ,Oui,6-10,Au moins trois fois par an,Trois a quatre heures,Les deux,Oui,Oui,6-10,7-10,50-100 
38,H,1981-1985,Employe,17-18 ,Oui,6-10,Au moins une fois par semaine,Une a deux heures,Les deux,Oui,Oui,6-10, 11-15,50-100 
39,H,1981-1985,En recherche d'emploi,11-12,Oui, 11-20,Au moins deux fois par mois,Trois a quatre heures,Les deux,Non,Oui,2-5,4-6,50-100 
40,H,1966-1970,Travailleur independant,13-14 ,Oui,21,Au moins trois fois par an,Cinq a six heures,Les deux,Oui,Oui,16, 31-50,20-50 
41,H,1981-1985,Employe,15-16 ,Oui,21,Au moins une fois par mois,Trois a quatre heures,Les deux,Non,Oui,2-5, 11-15,20-50 
42,H,1986-1990,Employe,17-18 ,Non,6-10,Je ne joue plus vraiment,Trois a quatre heures,PJ,Oui,Oui,2-5,2-3,20-50 
43,H,1976-1980,Cadre ou profession intellectuelle superieure,10,Oui, 11-20,Au moins trois fois par an,Le week end,Les deux,Non,Oui,16,51,100-200 
44,F,1996-2000,Etudiant,15-16 ,Non,2-5,Au moins une fois par mois,Cinq a six heures,PJ,Oui,Non,N/A,N/A,N/A
45,H,1971-1975,Profession intermediaire,15-16 ,Oui,21,Au moins trois fois par an,Cinq a six heures,MJ,Oui,Oui,2-5, 11-15,20-50 
46,H,1981-1985,Employe,15-16 ,Non,21,Au moins une fois par semaine,Cinq a six heures,Les deux,Non,Oui,6-10, 21-30,200-500 
47,H,1976-1980,Employe,11-12,Oui,21,Au moins deux fois par mois,Cinq a six heures,Les deux,Non,Oui,16,51,100-200 
48,H,1966-1970,Profession intermediaire,17-18 ,Oui,21,Au moins une fois par semaine,Cinq a six heures,Les deux,Oui,Oui,2-5, 16-20,200-500 
49,H,1981-1985,Employe,13-14 ,Oui, 11-20,Au moins une fois par semaine,Cinq a six heures,Les deux,Oui,Oui,2-5, 11-15,100-200 
50,H,1976-1980,Cadre ou profession intellectuelle superieure,15-16 ,Oui,6-10,Au moins trois fois par an,Cinq a six heures,PJ,Oui,Oui,16,51,100-200 
51,H,1971-1975,Employe,17-18 ,Oui,21,Au moins une fois par mois,Cinq a six heures,Les deux,Oui,Oui,2-5,7-10,20-50 
52,H,1991-1995,Etudiant,13-14 ,Oui,6-10,Au moins deux fois par mois,Cinq a six heures,Les deux,Oui,Oui,2-5, 11-15,50-100 
53,H,1976-1980,Cadre ou profession intellectuelle superieure,11-12,Oui,21,Je ne joue plus vraiment,Cinq a six heures,Les deux,Oui,Oui,16,51,200-500 
54,H,1971-1975,Profession intermediaire,11-12,Oui,21,Au moins une fois par semaine,Cinq a six heures,Les deux,Oui,Oui,16,51,100-200 
55,H,1966-1970,Travailleur independant,15-16 ,Oui, 11-20,Au moins une fois par mois,Cinq a six heures,Les deux,Oui,Oui,2-5,51,100-200 
56,H,1991-1995,Etudiant,13-14 ,Oui,21,Au moins une fois par semaine,Trois a quatre heures,Les deux,Oui,Oui,2-5, 16-20,100-200 
57,H,1971-1975,Employe,13-14 ,Oui,21,Au moins deux fois par mois,Cinq a six heures,Les deux,Non,Oui,16,51,100-200 
58,F,1971-1975,Employe,19-20 ,Oui,6-10,Je ne joue plus vraiment,Trois a quatre heures,PJ,Non,Non,N/A,N/A,N/A
59,H,1971-1975,Employe,13-14 ,Oui,21,Au moins trois fois par an,Trois a quatre heures,Les deux,Oui,Oui,16, 31-50,100-200 
60,H,1976-1980,Cadre ou profession intellectuelle superieure,10,Oui,21,Au moins deux fois par mois,Cinq a six heures,Les deux,Oui,Oui,16,51,50-100 
61,H,1981-1985,En recherche d'emploi,15-16 ,Non,2-5,Au moins trois fois par an,Cinq a six heures,MJ,Non,Oui,2-5, 11-15,20-50 
62,H,1971-1975,Je ne souhaite pas repondre,13-14 ,Oui,21,Au moins deux fois par mois,Trois a quatre heures,Les deux,Oui,Oui,16,51,500
63,F,1961-1965,Sans activite,19-20 ,Oui,21,Au moins une fois par semaine,Cinq a six heures,Les deux,Non,Oui,16,51,100-200 
64,H,1991-1995,Employe,15-16 ,Non,6-10,Au moins une fois par semaine,Sept heures ou plus,PJ,Non,Oui,2-5,7-10,500
65,H,1986-1990,Etudiant,13-14 ,Oui, 11-20,Au moins une fois par mois,Cinq a six heures,Les deux,Oui,Oui,6-10,51,500
66,H,1976-1980,Cadre ou profession intellectuelle superieure,13-14 ,Oui,21,Au moins une fois par mois,Trois a quatre heures,Les deux,Non,Oui,6-10, 31-50,20-50 
67,H,1976-1980,Cadre ou profession intellectuelle superieure,11-12,Non, 11-20,Au moins trois fois par an,Trois a quatre heures,Les deux,Non,Oui,6-10, 11-15,50-100 
68,H,1976-1980,Cadre ou profession intellectuelle superieure,13-14 ,Oui,21,Au moins une fois par mois,Cinq a six heures,Les deux,Oui,Oui,16,51,100-200 
69,H,1981-1985,Employe,17-18 ,Oui, 11-20,Au moins une fois par semaine,Cinq a six heures,PJ,Oui,Oui,2-5,4-6,50-100 
70,F,1981-1985,Cadre ou profession intellectuelle superieure,17-18 ,Non,6-10,Je ne joue plus vraiment,Cinq a six heures,PJ,Non,Oui,1,1,20
71,H,1971-1975,Cadre ou profession intellectuelle superieure,11-12,Non,21,Je ne joue plus vraiment,Sept heures ou plus,Les deux,Oui,Oui,6-10, 21-30,20
72,H,1976-1980,Employe,19-20 ,Oui, 11-20,Au moins une fois par mois,Trois a quatre heures,MJ,Oui,Oui, 11-15,51,200-500 
73,H,1986-1990,Etudiant,17-18 ,Non,6-10,Au moins trois fois par an,Trois a quatre heures,Les deux,Oui,Oui,2-5,4-6,20-50 
74,H,1976-1980,Cadre ou profession intellectuelle superieure,13-14 ,Non,21,Au moins trois fois par an,Sept heures ou plus,MJ,Non,Oui,16,51,500
75,H,1966-1970,Employe,13-14 ,Oui,21,Au moins deux fois par mois,Trois a quatre heures,MJ,Non,Oui, 11-15,51,100-200 
76,F,1976-1980,Sans activite,17-18 ,Non, 11-20,Au moins une fois par semaine,Sept heures ou plus,Les deux,Non,Oui,6-10,51,100-200 
77,H,1981-1985,Employe,11-12,Non, 11-20,Au moins une fois par an,Cinq a six heures,PJ,Non,Oui, 11-15,51,20-50 
78,H,1986-1990,Employe,11-12,Oui, 11-20,Au moins deux fois par mois,Trois a quatre heures,Les deux,Oui,Oui,2-5,2-3,20-50 
79,H,1971-1975,Employe,15-16 ,Oui, 11-20,Au moins une fois par an,Cinq a six heures,Les deux,Non,Oui,2-5,51,50-100 
80,H,1966-1970,Profession intermediaire,13-14 ,Oui,21,Au moins trois fois par an,Sept heures ou plus,MJ,Non,Oui,16,51,20-50 
81,H,1991-1995,Etudiant,11-12,Non, 11-20,Au moins une fois par semaine,Trois a quatre heures,Les deux,Oui,Oui,16,51,200-500 
82,H,1986-1990,Profession intermediaire,15-16 ,Non,2-5,Je ne joue plus vraiment,Une a deux heures,PJ,Non,Non,N/A,N/A,N/A
83,F,1986-1990,Employe,17-18 ,Non,2-5,Au moins trois fois par an,Cinq a six heures,PJ,Non,Oui,2-5,2-3,20-50 
84,H,1976-1980,En recherche d'emploi,13-14 ,Oui, 11-20,Au moins une fois par mois,Cinq a six heures,Les deux,Non,Oui,6-10, 21-30,100-200 
85,H,1991-1995,Etudiant,11-12,Oui,6-10,Au moins une fois par mois,Sept heures ou plus,Les deux,Non,Oui,2-5,51,50-100 
86,H,1981-1985,Travailleur independant,10,Oui, 11-20,Au moins trois fois par an,Cinq a six heures,MJ,Non,Oui,6-10, 31-50,20
87,H,1981-1985,Cadre ou profession intellectuelle superieure,10,Oui, 11-20,Au moins trois fois par an,Cinq a six heures,PJ,Non,Oui,6-10,51,20
88,H,1981-1985,Employe,21-22 ,Oui,21,Au moins une fois par semaine,Cinq a six heures,Les deux,Oui,Oui,16,51,500
89,H,1986-1990,Ouvrier,15-16 ,Oui,6-10,Au moins une fois par semaine,Cinq a six heures,Les deux,Oui,Oui,2-5, 16-20,200-500 
90,F,1986-1990,En recherche d'emploi,19-20 ,Oui, 11-20,Au moins une fois par semaine,Sept heures ou plus,PJ,Oui,Oui,2-5,51,200-500 
91,H,1976-1980,Travailleur independant,15-16 ,Oui,6-10,Au moins trois fois par an,Cinq a six heures,Les deux,Oui,Oui,2-5,4-6,20
92,H,1971-1975,Je ne souhaite pas repondre,13-14 ,Oui,21,Au moins une fois par semaine,Cinq a six heures,Les deux,Oui,Oui,2-5,2-3,20
93,F,1986-1990,Employe,23-24 ,Oui,6-10,Au moins une fois par semaine,Trois a quatre heures,PJ,Oui,Non,N/A,N/A,N/A
94,F,1971-1975,Cadre ou profession intellectuelle superieure,17-18 ,Non,2-5,Je ne joue plus vraiment,Cinq a six heures,PJ,Non,Oui,2-5,4-6,20
95,F,1986-1990,Je ne souhaite pas repondre,19-20 ,Oui, 11-20,Au moins une fois par mois,Cinq a six heures,PJ,Oui,Non,N/A,N/A,N/A
96,H,1986-1990,Etudiant,17-18 ,Oui,2-5,Au moins une fois par mois,Le week end,Les deux,Non,Non,N/A,N/A,N/A
97,H,1991-1995,Etudiant,13-14 ,Oui,6-10,Au moins deux fois par mois,Trois a quatre heures,Les deux,Non,Oui,6-10,4-6,20-50 
98,H,1981-1985,Cadre ou profession intellectuelle superieure,11-12,Oui,21,Au moins une fois par semaine,Sept heures ou plus,Les deux,Oui,Oui,6-10, 21-30,100-200 
99,H,1966-1970,Cadre ou profession intellectuelle superieure,23-24 ,Non, 11-20,Au moins une fois par semaine,Trois a quatre heures,Les deux,Non,Oui,6-10,51,200-500 
100,F,1976-1980,Je ne souhaite pas repondre,17-18 ,Non,2-5,Au moins une fois par semaine,Cinq a six heures,PJ,Oui,Non,N/A,N/A,N/A
101,H,1991-1995,Etudiant,15-16 ,Oui, 11-20,Au moins une fois par semaine,Cinq a six heures,PJ,Oui,Oui,1,1,20-50 
102,H,1971-1975,Cadre ou profession intellectuelle superieure,13-14 ,Non,21,Au moins deux fois par mois,Cinq a six heures,Les deux,Non,Oui,6-10,51,50-100 
103,H,1976-1980,En recherche d'emploi,15-16 ,Non, 11-20,Au moins trois fois par an,Sept heures ou plus,Les deux,Oui,Oui,16,51,20-50 
104,H,1966-1970,Cadre ou profession intellectuelle superieure,13-14 ,Non, 11-20,Au moins deux fois par mois,Trois a quatre heures,MJ,Non,Oui,16,51,500
105,H,1981-1985,Employe,13-14 ,Non,2-5,Je ne joue plus vraiment,Cinq a six heures,PJ,Non,Oui,1, 11-15,20
106,H,1966-1970,Cadre ou profession intellectuelle superieure,13-14 ,Non, 11-20,Au moins trois fois par an,Cinq a six heures,Les deux,Oui,Oui,16,51,500
107,H,1976-1980,Employe,15-16 ,Oui,21,Au moins une fois par mois,Cinq a six heures,Les deux,Oui,Oui,2-5,51,50-100 
108,H,1981-1985,Cadre ou profession intellectuelle superieure,17-18 ,Non, 11-20,Au moins une fois par semaine,Trois a quatre heures,Les deux,Non,Oui,16,51,500
109,H,1991-1995,Etudiant,11-12,Oui,6-10,Au moins deux fois par mois,Sept heures ou plus,Les deux,Oui,Oui,1,4-6,20-50 
110,H,1986-1990,Employe,17-18 ,Oui,6-10,Au moins deux fois par mois,Trois a quatre heures,Les deux,Oui,Oui,6-10, 21-30,50-100 
111,H,1976-1980,Employe,19-20 ,Oui,6-10,Au moins deux fois par mois,Cinq a six heures,Les deux,Oui,Oui,6-10, 31-50,50-100 
112,H,1976-1980,Employe,11-12,Oui,21,Au moins une fois par semaine,Cinq a six heures,Les deux,Oui,Oui,16,51,100-200 
113,H,1986-1990,Etudiant,13-14 ,Oui, 11-20,Au moins une fois par mois,Cinq a six heures,Les deux,Oui,Oui,1,1,20
114,F,1986-1990,Employe,15-16 ,Oui, 11-20,Au moins une fois par mois,Cinq a six heures,Les deux,Oui,Oui,2-5,2-3,20
115,H,1976-1980,Employe,31-40 ,Non,2-5,Au moins une fois par mois,Trois a quatre heures,Les deux,Oui,Oui,2-5,2-3,20-50 
116,H,1971-1975,Employe,10,Oui,21,Je ne joue plus vraiment,Sept heures ou plus,Les deux,Non,Oui, 11-15, 16-20,20
117,H,1981-1985,Cadre ou profession intellectuelle superieure,17-18 ,Oui,6-10,Je ne joue plus vraiment,Cinq a six heures,Les deux,Oui,Oui,2-5, 11-15,20
118,H,1976-1980,Employe,13-14 ,Oui,21,Au moins une fois par semaine,Cinq a six heures,Les deux,Oui,Oui,16,51,100-200 
119,H,1976-1980,Je ne souhaite pas repondre,13-14 ,Oui,6-10,Au moins une fois par semaine,Cinq a six heures,Les deux,Oui,Oui,2-5,7-10,20
120,H,1966-1970,Employe,15-16 ,Oui,21,Au moins une fois par mois,Sept heures ou plus,Les deux,Non,Oui,16, 31-50,500
121,H,1976-1980,Cadre ou profession intellectuelle superieure,13-14 ,Oui,21,Au moins une fois par semaine,Cinq a six heures,Les deux,Oui,Oui,16,51,500
122,H,1991-1995,Ouvrier,15-16 ,Oui, 11-20,Au moins deux fois par mois,Sept heures ou plus,Les deux,Non,Oui,2-5,2-3,20-50 
123,H,1966-1970,Profession intermediaire,11-12,Oui,21,Au moins deux fois par mois,Cinq a six heures,Les deux,Non,Oui,6-10,51,100-200 
124,F,1976-1980,Cadre ou profession intellectuelle superieure,15-16 ,Oui,21,Au moins une fois par semaine,Cinq a six heures,PJ,Oui,Oui,16,51,200-500 
125,H,1971-1975,Cadre ou profession intellectuelle superieure,10,Non,6-10,Au moins trois fois par an,Cinq a six heures,Les deux,Oui,Oui,16,51,500
126,H,1981-1985,Cadre ou profession intellectuelle superieure,13-14 ,Non,6-10,Je ne joue plus vraiment,Sept heures ou plus,PJ,Oui,Oui,1,1,20
127,H,1981-1985,Cadre ou profession intellectuelle superieure,19-20 ,Non,2-5,Au moins une fois par an,Cinq a six heures,Les deux,Non,Oui,2-5,7-10,100-200 
128,H,1976-1980,Cadre ou profession intellectuelle superieure,10,Non,21,Au moins trois fois par an,Cinq a six heures,PJ,Non,Oui,6-10,7-10,20
129,H,1976-1980,Employe,13-14 ,Oui,21,Au moins une fois par semaine,Cinq a six heures,Les deux,Oui,Oui,6-10,7-10,50-100 
130,H,1986-1990,Profession intermediaire,21-22 ,Non,6-10,Au moins deux fois par mois,Cinq a six heures,PJ,Non,Non,N/A,N/A,N/A
131,H,1976-1980,Employe,21-22 ,Oui,21,Au moins une fois par mois,Cinq a six heures,Les deux,Oui,Oui,6-10,51,500
132,H,1991-1995,Etudiant,11-12,Non,6-10,Au moins deux fois par mois,Sept heures ou plus,MJ,Oui,Oui, 11-15,51,200-500 
133,H,1976-1980,Travailleur independant,15-16 ,Non,21,Je ne joue plus vraiment,Cinq a six heures,Les deux,Non,Oui,2-5,4-6,20
134,H,1991-1995,Etudiant,17-18 ,Oui,6-10,Au moins deux fois par mois,Cinq a six heures,Les deux,Oui,Oui,2-5,4-6,20
135,H,1981-1985,Employe,13-14 ,Oui,6-10,Au moins une fois par semaine,Cinq a six heures,Les deux,Non,Oui,2-5,51,100-200 
136,H,1971-1975,Ouvrier,13-14 ,Oui,2-5,Au moins une fois par semaine,Sept heures ou plus,Les deux,Oui,Oui,2-5,4-6,20-50 
137,H,1966-1970,Employe,13-14 ,Non,21,Au moins une fois par mois,Trois a quatre heures,Les deux,Non,Oui,6-10,51,100-200 
138,F,1976-1980,Employe,21-22 ,Oui,21,Au moins une fois par mois,Trois a quatre heures,PJ,Oui,Oui,2-5,7-10,20-50 
139,H,1981-1985,Cadre ou profession intellectuelle superieure,19-20 ,Oui,21,Au moins une fois par semaine,Trois a quatre heures,Les deux,Oui,Oui,16,51,200-500 
140,H,1976-1980,Profession intermediaire,10,Non,21,Au moins deux fois par mois,Sept heures ou plus,Les deux,Non,Oui,6-10,4-6,100-200 
141,H,1986-1990,Etudiant,10,Non, 11-20,Au moins une fois par mois,Trois a quatre heures,Les deux,Non,Oui,2-5,4-6,20-50 
142,H,1976-1980,Cadre ou profession intellectuelle superieure,10,Oui,21,Au moins deux fois par mois,Cinq a six heures,Les deux,Non,Oui,6-10, 21-30,50-100 
143,H,1986-1990,Cadre ou profession intellectuelle superieure,17-18 ,Oui,21,Au moins une fois par semaine,Cinq a six heures,Les deux,Non,Oui,2-5, 31-50,200-500 
144,H,1981-1985,Employe,13-14 ,Oui,21,Au moins une fois par an,Cinq a six heures,Les deux,Non,Oui,1, 16-20,20-50 
145,H,1976-1980,Travailleur independant,13-14 ,Non,6-10,Au moins trois fois par an,Sept heures ou plus,Les deux,Non,Oui,2-5,51,100-200 
146,H,1981-1985,Cadre ou profession intellectuelle superieure,19-20 ,Non,6-10,Au moins trois fois par an,Cinq a six heures,PJ,Non,Oui,6-10, 21-30,200-500 
147,H,1976-1980,Cadre ou profession intellectuelle superieure,11-12,Non, 11-20,Au moins trois fois par an,Cinq a six heures,Les deux,Non,Oui, 11-15,51,20-50 
148,H,1976-1980,Cadre ou profession intellectuelle superieure,13-14 ,Oui,21,Au moins trois fois par an,Cinq a six heures,Les deux,Oui,Oui,16, 31-50,20
149,H,1986-1990,En recherche d'emploi,15-16 ,Non, 11-20,Au moins une fois par semaine,Cinq a six heures,Les deux,Oui,Oui,6-10, 31-50,100-200 
150,F,1981-1985,Employe,19-20 ,Non,6-10,Au moins une fois par semaine,Cinq a six heures,PJ,Oui,Oui,2-5,4-6,50-100 
151,H,1991-1995,Employe,15-16 ,Oui, 11-20,Au moins une fois par semaine,Cinq a six heures,Les deux,Oui,Oui,2-5, 11-15,100-200 
152,H,1971-1975,Cadre ou profession intellectuelle superieure,15-16 ,Oui,21,Au moins une fois par mois,Trois a quatre heures,Les deux,Non,Oui,16,51,200-500 
153,H,1991-1995,Etudiant,13-14 ,Oui, 11-20,Au moins une fois par semaine,Cinq a six heures,Les deux,Oui,Oui,2-5,4-6,50-100 
154,H,1976-1980,Employe,10,Oui,21,Au moins une fois par an,Le week end,Les deux,Non,Oui,2-5, 11-15,20
155,H,1996-2000,Etudiant,10,Oui,6-10,Au moins deux fois par mois,Cinq a six heures,PJ,Oui,Oui,2-5,7-10,50-100 
156,H,1991-1995,Etudiant,13-14 ,Oui,6-10,Au moins une fois par mois,Sept heures ou plus,PJ,Oui,Oui,1,1,20
157,H,1986-1990,Employe,17-18 ,Non,6-10,Au moins deux fois par mois,Trois a quatre heures,Les deux,Non,Oui,2-5,2-3,20-50 
158,H,1976-1980,Employe,11-12,Oui, 11-20,Au moins une fois par mois,Sept heures ou plus,Les deux,Non,Oui,2-5, 11-15,20
159,H,1981-1985,Employe,19-20 ,Oui,21,Au moins une fois par semaine,Cinq a six heures,Les deux,Oui,Oui,16,51,100-200 
160,H,1986-1990,Profession intermediaire,15-16 ,Non, 11-20,Au moins une fois par semaine,Sept heures ou plus,Les deux,Non,Oui, 11-15, 21-30,200-500 
161,H,1981-1985,Employe,13-14 ,Oui,21,Au moins une fois par mois,Sept heures ou plus,Les deux,Oui,Oui,6-10,51,200-500 
162,H,1971-1975,Employe,11-12,Non,6-10,Au moins trois fois par an,Cinq a six heures,Les deux,Non,Oui,2-5, 16-20,20-50 
163,H,1971-1975,Profession intermediaire,11-12,Oui,21,Je ne joue plus vraiment,Cinq a six heures,Les deux,Oui,Oui,16,51,100-200 
164,H,1976-1980,Ouvrier,11-12,Oui, 11-20,Au moins une fois par semaine,Cinq a six heures,Les deux,Oui,Oui, 11-15,51,50-100 
165,H,1976-1980,Employe,13-14 ,Non, 11-20,Au moins une fois par mois,Cinq a six heures,Les deux,Non,Oui,1,4-6,20-50 
166,H,1981-1985,Cadre ou profession intellectuelle superieure,17-18 ,Oui,21,Au moins trois fois par an,Cinq a six heures,Les deux,Oui,Oui,16,51,100-200 
167,H,1966-1970,Retraite,13-14 ,Oui, 11-20,Au moins deux fois par mois,Cinq a six heures,PJ,Non,Oui,16,51,200-500 
168,H,1976-1980,Cadre ou profession intellectuelle superieure,25-30 ,Oui,2-5,Au moins une fois par semaine,Trois a quatre heures,Les deux,Non,Non,N/A,N/A,N/A
169,H,1960 ou avant,Employe,25-30 ,Oui,2-5,Au moins une fois par mois,Cinq a six heures,PJ,Oui,Oui,1,2-3,50-100 
170,H,1991-1995,Etudiant,15-16 ,Oui,6-10,Au moins une fois par semaine,Trois a quatre heures,Les deux,Oui,Non,N/A,N/A,N/A
171,H,1966-1970,Employe,11-12,Non,6-10,Au moins trois fois par an,Sept heures ou plus,PJ,Oui,Oui,2-5, 16-20,50-100 
172,H,1986-1990,Cadre ou profession intellectuelle superieure,19-20 ,Oui,2-5,Au moins trois fois par an,Trois a quatre heures,Les deux,Oui,Oui,2-5, 11-15,20-50 
173,H,1971-1975,Cadre ou profession intellectuelle superieure,13-14 ,Oui, 11-20,Au moins une fois par mois,Cinq a six heures,Les deux,Non,Oui,6-10,51,100-200 
174,H,1971-1975,Cadre ou profession intellectuelle superieure,17-18 ,Non,6-10,Au moins une fois par an,Sept heures ou plus,PJ,Non,Oui,2-5,4-6,20
175,H,1991-1995,Etudiant,15-16 ,Oui, 11-20,Au moins une fois par semaine,Trois a quatre heures,PJ,Non,Oui,2-5,2-3,100-200 
176,F,1981-1985,Employe,10,Oui, 11-20,Au moins deux fois par mois,Sept heures ou plus,PJ,Non,Oui,2-5, 11-15,100-200 
177,H,1971-1975,Employe,17-18 ,Oui, 11-20,Au moins une fois par mois,Trois a quatre heures,Les deux,Non,Oui,2-5,51,50-100 
178,F,1986-1990,En recherche d'emploi,13-14 ,Non,2-5,Au moins une fois par an,Sept heures ou plus,PJ,Oui,Oui,1,1,20
179,F,1981-1985,En recherche d'emploi,17-18 ,Oui,21,Au moins une fois par semaine,Trois a quatre heures,Les deux,Oui,Oui,2-5,2-3,20-50 
180,H,1976-1980,Cadre ou profession intellectuelle superieure,10,Non, 11-20,Au moins trois fois par an,Cinq a six heures,MJ,Non,Oui, 11-15,51,500
